symbol,insider,amount,logged_price,entry_day,exit_day,entry_close,exit_close,ret_gross,ret_net,bench_ret,alpha_net
ACI,Moriarty Thomas M,1962284,11.509,2026-07-29,2026-08-12,12.06,12.01,-0.00415,-0.00815,0.05899,-0.06713
ADAG,Luo Peter,84764,3.6465,2026-08-07,2026-08-21,4.11,4.02,-0.0219,-0.0259,-0.00975,-0.01615
BBBY,LEMONIS MARCUS,202594,4.67,2026-08-06,2026-08-20,4.5,4.17,-0.07333,-0.07733,-0.00775,-0.06958
BRVE,Rickey James Paul,499986,18.0,2026-08-10,2026-08-24,27.53,27.5,-0.00109,-0.00509,-0.01237,0.00728
BRVE,Viehbacher Christopher,1499994,18.0,2026-08-10,2026-08-24,27.53,27.5,-0.00109,-0.00509,-0.01237,0.00728
BRVE,Malek David I,74988,18.0,2026-08-10,2026-08-24,27.53,27.5,-0.00109,-0.00509,-0.01237,0.00728
BRVE,Murdoch Travis,1499994,18.0,2026-08-10,2026-08-24,27.53,27.5,-0.00109,-0.00509,-0.01237,0.00728
BRVE,Lubner David Charles,999990,18.0,2026-08-10,2026-08-24,27.53,27.5,-0.00109,-0.00509,-0.01237,0.00728
BYRN,Davis Conn Q.,77003,3.4689,2026-07-24,2026-08-07,3.54,4.45,0.25706,0.25306,0.04646,0.2066
BYRN,Hughes Herbert,74249,3.4246,2026-07-24,2026-08-07,3.54,4.45,0.25706,0.25306,0.04646,0.2066
BYRN,Kennedy TJ,102286,3.5271,2026-07-24,2026-08-07,3.54,4.45,0.25706,0.25306,0.04646,0.2066
CCB,Sprink Eric M,444500,44.45,2026-08-10,2026-08-24,48.61,46.96,-0.03394,-0.03794,-0.01237,-0.02558
CSGP,FLORANCE ANDREW C,2489837,29.89,2026-08-05,2026-08-19,30.21,33.73,0.11652,0.11252,-0.00095,0.11347
CVBF,O Brien Raymond V III,455300,22.765,2026-07-29,2026-08-12,22.83,23.0,0.00745,0.00345,0.05899,-0.05554
DBD,Timko Thomas S,50603,72.2898,2026-08-03,2026-08-17,77.48,69.7,-0.10041,-0.10441,0.0198,-0.12421
ETR,Ropp Ralph Lewis,106075,106.075,2026-08-07,2026-08-21,107.18,104.62,-0.02389,-0.02789,-0.00975,-0.01813
GBFH,Nigro Todd Anthony,105350,21.07,2026-08-06,2026-08-20,20.85,20.75,-0.0048,-0.0088,-0.00775,-0.00104
GBFH,NIGRO EDWARD MICHAEL,197852,21.5057,2026-08-06,2026-08-20,20.85,20.75,-0.0048,-0.0088,-0.00775,-0.00104
GBFH,Herbst Timothy P,214971,21.4971,2026-08-06,2026-08-20,20.85,20.75,-0.0048,-0.0088,-0.00775,-0.00104
GBFH,NEWGARD JEFFREY K,699025,21.6665,2026-08-06,2026-08-20,20.85,20.75,-0.0048,-0.0088,-0.00775,-0.00104
HUN,Huntsman Peter R,981000,9.81,2026-08-04,2026-08-18,10.43,10.05,-0.03643,-0.04043,-0.00503,-0.0354
INDV,Anderson Woodrow D,54420,36.28,2026-08-06,2026-08-20,38.67,37.78,-0.02302,-0.02702,-0.00775,-0.01926
IONS,Hayden Michael R,1058700,52.935,2026-08-03,2026-08-17,54.49,58.63,0.07598,0.07198,0.0198,0.05218
KRNY,Fields Curtland E,138274,9.4064,2026-07-28,2026-08-11,9.65,9.53,-0.01244,-0.01644,0.04009,-0.05652
LOOP,GEYGAN JEFFREY RICHART,51982,0.7479,2026-08-03,2026-08-17,0.73,0.65,-0.10959,-0.11359,0.0198,-0.13339
LUMN,Johnson Kathleen E,612680,6.1268,2026-08-07,2026-08-21,6.24,5.94,-0.04808,-0.05208,-0.00975,-0.04233
MATW,SCHAWK DAVID A,118000,23.6,2026-08-10,2026-08-24,22.98,21.22,-0.07659,-0.08059,-0.01237,-0.06822
MKZR,PATTERSON CHARLES E. II,87606,1.3154,2026-08-04,2026-08-18,1.365,1.5,0.0989,0.0949,-0.00503,0.09993
MPLT,Cox Troy,148702,9.52,2026-07-29,2026-08-12,15.02,11.38,-0.24234,-0.24634,0.05899,-0.30533
OVLY,Strong Gary,65000,32.5,2026-07-28,2026-08-11,34.35,33.36,-0.02882,-0.03282,0.04009,-0.07291
RRBI,Price Teddy Ray,111798,99.909,2026-08-10,2026-08-24,100.68,101.31,0.00626,0.00226,-0.01237,0.01462
TLSA,Elrifi Ivor,318909,0.9922,2026-08-06,2026-08-20,0.97,1.12,0.15464,0.15064,-0.00775,0.15839
TM,Kon Kenta,1564850,18.41,2026-08-06,2026-08-20,187.49,192.24,0.02533,0.02133,-0.00775,0.02909
TSCO,MORRIS EDNA,50606,32.44,2026-08-06,2026-08-20,34.09,35.05,0.02816,0.02416,-0.00775,0.03192
TSCO,Lawton III Harry A,501524,32.1489,2026-08-06,2026-08-20,34.09,35.05,0.02816,0.02416,-0.00775,0.03192
TSM,Lin Shyue-Shyh,146780,73.39,2026-07-22,2026-08-05,421.21,414.0,-0.01712,-0.02112,0.02994,-0.05106
TSM,Tien Bor-Zen,73060,73.06,2026-08-04,2026-08-18,417.17,413.41,-0.00901,-0.01301,-0.00503,-0.00798
VMI,Schwietz John L,101118,486.145,2026-07-27,2026-08-10,494.81,492.24,-0.00519,-0.00919,0.04592,-0.05512
WCC,Castillo Daniel J,351254,365.89,2026-08-06,2026-08-20,371.77,338.09,-0.09059,-0.09459,-0.00775,-0.08684
